Date_Time,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0
2021-04-20 17:08:02,87,29,3,0,0,0
2021-04-20 17:08:12,36,12,0,0,0,0
2021-04-20 17:08:22,111,37,3,0,0,0
2021-04-20 17:08:32,153,51,6,0,0,0
2021-04-20 17:08:42,30,10,0,0,0,0
2021-04-20 17:08:52,21,7,0,0,0,0
2021-04-20 17:09:02,63,21,0,0,0,0
2021-04-20 17:09:12,69,23,3,0,0,0
2021-04-20 17:09:22,66,22,3,0,0,0
2021-04-20 17:09:32,48,16,0,0,0,0
2021-04-20 17:09:42,99,33,0,0,0,0
2021-04-20 17:09:52,87,29,0,0,0,0
2021-04-20 17:10:02,72,24,0,0,0,0
2021-04-20 17:10:12,117,35,0,0,0,0
2021-04-20 17:10:22,72,24,0,0,0,0
2021-04-20 17:10:32,72,21,3,0,0,0
2021-04-20 17:10:42,120,33,6,0,0,0
2021-04-20 17:10:52,87,25,6,0,0,0
2021-04-20 17:11:02,87,29,3,0,0,0
2021-04-20 17:11:12,111,33,3,0,0,0
2021-04-20 17:11:22,141,39,3,0,0,0
2021-04-20 17:11:32,78,22,0,0,0,0
2021-04-20 17:11:42,69,23,0,0,0,0
2021-04-20 17:11:52,87,29,0,0,0,0
2021-04-20 17:12:02,69,23,0,0,0,0
2021-04-20 17:12:12,141,47,0,0,0,0
2021-04-20 17:12:22,108,33,0,0,0,0
2021-04-20 17:12:32,90,30,0,0,0,0
2021-04-20 17:12:42,48,16,0,0,0,0
2021-04-20 17:12:52,51,13,0,0,0,0
2021-04-20 17:13:02,93,27,3,0,0,0
2021-04-20 17:13:12,42,14,0,0,0,0
2021-04-20 17:13:22,84,24,0,0,0,0
2021-04-20 17:13:32,177,55,0,0,0,0
2021-04-20 17:13:42,177,59,0,0,0,0
2021-04-20 17:13:52,108,36,0,0,0,0
2021-04-20 17:14:02,78,26,0,0,0,0
2021-04-20 17:14:12,39,13,0,0,0,0
2021-04-20 17:14:22,99,29,0,0,0,0
2021-04-20 17:14:32,111,37,3,0,0,0
2021-04-20 17:14:42,60,20,3,0,0,0
2021-04-20 17:14:52,60,17,0,0,0,0
2021-04-20 17:15:02,102,28,0,0,0,0
2021-04-20 17:15:12,39,10,0,0,0,0
2021-04-20 17:15:22,36,12,0,0,0,0
2021-04-20 17:15:32,48,16,0,0,0,0
2021-04-20 17:15:42,27,9,0,0,0,0
2021-04-20 17:15:52,18,6,0,0,0,0
2021-04-20 17:16:02,18,6,0,0,0,0
2021-04-20 17:16:12,18,6,0,0,0,0
2021-04-20 17:16:22,39,13,0,0,0,0
2021-04-20 17:16:32,90,30,3,0,0,0
2021-04-20 17:16:42,108,32,0,0,0,0
2021-04-20 17:16:52,276,77,0,0,0,0
2021-04-20 17:17:02,234,67,0,0,0,0
2021-04-20 17:17:12,123,41,0,0,0,0
2021-04-20 17:17:22,114,34,0,0,0,0
2021-04-20 17:17:32,81,23,0,0,0,0
2021-04-20 17:17:42,48,13,0,0,0,0
2021-04-20 17:17:52,69,20,3,0,0,0
2021-04-20 17:18:02,93,31,0,0,0,0
2021-04-20 17:18:12,93,31,0,0,0,0
2021-04-20 17:18:22,60,20,0,0,0,0
2021-04-20 17:18:32,39,13,0,0,0,0
2021-04-20 17:18:42,30,10,0,0,0,0
2021-04-20 17:18:52,63,21,0,0,0,0
2021-04-20 17:19:02,72,24,0,0,0,0
2021-04-20 17:19:12,90,30,0,0,0,0
2021-04-20 17:19:22,144,45,0,0,0,0
2021-04-20 17:19:32,78,20,0,0,0,0
2021-04-20 17:19:42,48,13,0,0,0,0
2021-04-20 17:19:52,51,17,0,0,0,0
2021-04-20 17:20:02,30,7,0,0,0,0
2021-04-20 17:20:12,0,0,0,0,0,0
2021-04-20 17:20:22,51,13,0,0,0,0
2021-04-20 17:20:32,123,41,0,0,0,0
2021-04-20 17:20:42,123,41,0,0,0,0
2021-04-20 17:20:52,69,23,0,0,0,0
2021-04-20 17:21:02,60,20,0,0,0,0
2021-04-20 17:21:12,69,23,0,0,0,0
2021-04-20 17:21:22,90,30,0,0,0,0
2021-04-20 17:21:32,51,17,0,0,0,0
2021-04-20 17:21:42,81,24,0,0,0,0
2021-04-20 17:21:52,129,39,0,0,0,0
2021-04-20 17:22:02,126,38,0,0,0,0
2021-04-20 17:22:12,141,36,0,0,0,0
2021-04-20 17:22:22,111,33,0,0,0,0
2021-04-20 17:22:32,111,33,0,0,0,0
